duree_minimale_sejour,caution,frais_menage,surcout_voyageur_supp,reduction_mois,reduction_semaine,prix_nuitee,porte_chambre_verrou,extincteur,fiche_securite,kit_secours,monoxyde_carbone_detect,detecteur_fumee,espace_travail_ordi,seche_cheveux,fer_repasser,cintres,entree_24_24,salle_sport,jacuzzi,piscine,portier,interphone,cheminee_interieur,ascenseur,accessibilite,logement_fumeur,adapte_evenements,pourenfants_famille,animaux_acceptes,petit_dejeuner,television_cable,wifi,parking_sur_place,seche_linge,machine_laver,climatisation,chauffage,produits_base,television,internet,cuisine,animal_sur_place,nblits,nbchambres,nombresdb,capacite_accueil,longitude,latitude,conditions_annulation_flexibles,conditions_annulation_moderees,conditions_annulation_strictes,type_lit_canape,type_lit_canape_convertible,type_lit_multiples,type_lit_vrai_lit,type_propriete_appart_en_residence,type_propriete_appartement,type_propriete_autre,type_propriete_bed_and_breakfast,type_propriete_bungalow_cabane_dortoir_eco,type_propriete_inconnu,type_propriete_loft,type_propriete_maison,type_propriete_maison_de_ville,type_logement_chambre_partagee,type_logement_chambre_privee,type_logement_logement_entier
2,0,5,0,0,0,66,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,2,-0.5807906177,44.8546049407,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,500,80,10,30,15,95,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,4,3,1,4,-0.5871625607,44.8304192995,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,500,10,20,0,15,70,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,4,-0.5881138894,44.8447824141,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,5,0,3,38,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,2,-0.5586981553,44.8253303872,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,800,30,0,0,0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,2,-0.5709525528,44.875960409,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,100,40,10,31,2,75,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,4,-0.5791474615,44.8432914625,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,15,0,0,0,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,2,-0.6014405186,44.8465876255,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,0,5,0,0,0,23,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2,-0.597456564,44.8241991095,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,2,-0.5457505494,44.8741268827,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,7,0,50,15,50,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,2,-0.571344264,44.8369287794,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,600,0,0,0,0,60,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,1,1,4,-0.5913503649,44.8335269942,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,200,40,0,34,24,150,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,3,3,6,-0.5936747013,44.8478595863,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,10,0,0,17,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,3,-0.5887667459,44.8470677254,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2,800,0,20,0,0,120,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,2,1,6,-0.5677428691,44.8399006876,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,5,0,0,10,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,2,-0.579046173,44.8434421728,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,35,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,2,-0.5588309219,44.8250366252,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,150,20,0,0,5,55,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,2,-0.5735950691,44.8330896167,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,700,10,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,-0.5755201132,44.8435089358,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,150,50,0,30,5,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,2,-0.5760601098,44.839401634,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5,150,25,0,0,10,60,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,2,1,6,-0.6156344662,44.861580814,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,500,0,5,0,0,55,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,4,-0.5770570982,44.8364912041,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,980,0,0,0,0,300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,4,-0.5719477562,44.8361055651,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2,250,0,10,30,15,120,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,4,-0.5583174796,44.8289194917,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,300,20,0,40,10,91,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,2,-0.5758130377,44.8329114677,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1000,0,0,30,13,145,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,4,2,1,6,-0.5793552104,44.8418545306,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
