duree_minimale_sejour,caution,frais_menage,surcout_voyageur_supp,reduction_mois,reduction_semaine,prix_nuitee,porte_chambre_verrou,extincteur,fiche_securite,kit_secours,monoxyde_carbone_detect,detecteur_fumee,espace_travail_ordi,seche_cheveux,fer_repasser,cintres,entree_24_24,salle_sport,jacuzzi,piscine,portier,interphone,cheminee_interieur,ascenseur,accessibilite,logement_fumeur,adapte_evenements,pourenfants_famille,animaux_acceptes,petit_dejeuner,television_cable,wifi,parking_sur_place,seche_linge,machine_laver,climatisation,chauffage,produits_base,television,internet,cuisine,animal_sur_place,nblits,nbchambres,nombresdb,capacite_accueil,longitude,latitude,conditions_annulation_flexibles,conditions_annulation_moderees,conditions_annulation_strictes,type_lit_canape,type_lit_canape_convertible,type_lit_multiples,type_lit_vrai_lit,type_propriete_appart_en_residence,type_propriete_appartement,type_propriete_autre,type_propriete_bed_and_breakfast,type_propriete_bungalow_cabane_dortoir_eco,type_propriete_inconnu,type_propriete_loft,type_propriete_maison,type_propriete_maison_de_ville,type_logement_chambre_partagee,type_logement_chambre_privee,type_logement_logement_entier
2,0,0,0,50,25,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,3,-0.6250221701,44.8573617517,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,300,50,0,50,10,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,2,-0.5693097052,44.8362326039,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,1000,0,0,0,0,160,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,2,2,2,4,-0.5770999758,44.8505875321,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,10,30,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,4,-0.5861359507,44.8509404334,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,700,0,0,20,0,80,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,2,-0.6256187178,44.8636838614,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,200,0,10,0,14,38,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,2,-0.5693541549,44.8542784107,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,55,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,2,-0.5720797768,44.8368613254,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,500,30,0,53,26,60,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2,-0.5692596491,44.8353881123,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,800,15,0,0,0,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,2,-0.5721991617,44.8500756865,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,2,-0.5804994923,44.8389042587,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,300,0,0,31,14,46,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,2,-0.5594173594,44.8408331493,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2,800,0,0,0,0,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,2,-0.5708177878,44.833473547,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,400,0,0,0,5,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,2,-0.5788386751,44.8377205861,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1500,60,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,4,4,2,7,-0.5467432039,44.8475454601,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3,0,0,0,0,0,47,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,2,-0.5708548361,44.8661487664,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,11,136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,2,-0.5621057102,44.8246512649,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2,0,0,0,70,0,45,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,2,-0.5825978842,44.856255195,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,100,15,10,0,0,87,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,3,1,6,-0.5692190997,44.8536878199,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,40,0,30,15,450,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,5,4,2,8,-0.5959749598,44.8417767018,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
